nom;localisation;type;statut;adresse_postale;telephone;adresse_mail;site_web
Lycée Bréquigny;Rennes;LP;public;7 avenue Georges Graff - CS 26918 - 35069 Rennes;02 99 86 82 00;ce.0350059z@ac-rennes.fr;http://www.lycee-brequigny-rennes.ac-rennes.fr
Lycée Assomption;Rennes;GT;privé;18 boulevard Painlevé - CS 80617 - 35706 Rennes;02 99 36 31 76;ce.0350778f@ac-rennes.fr;https://www.essfa.fr
Lycée La Mennais;Rennes;GT;privé;2 bis rue de la Motte Brûlon - CS 60624 - 35706 Rennes;02 99 87 12 12;ce.0350795z@ac-rennes.fr;http://www.la-mennais.com
Lycée Saint-Martin - Quartier Sainte-Anne;Rennes;GT;privé;31 rue d'Antrain - CS 20611 - 35706 Rennes;02 99 27 84 84;ce.0350048m@ac-rennes.fr;http://www.stmalo-steanne.fr
Lycée Saint-Martin - Quartier Sainte-Geneviève;Rennes;GT;privé;14D rue Ginguené - CS 44434 - 35044 Rennes;02 99 59 66 66;ce.0350049n@ac-rennes.fr;http://www.stmalo-steanne.fr
Lycée polyvalent Saint-Vincent Providence;Rennes;Polyvalent;privé;57 rue de Paris - CS 46430 - 35064 Rennes;02 99 27 31 95;ce.0350792w@ac-rennes.fr;http://www.lycee-svp.fr
Lycée polyvalent Jeanne d'Arc;Rennes;Polyvalent;privé;61 rue La Fontaine - CS 20816 - 35708 Rennes;02 99 31 94 00;ce.0350714l@ac-rennes.fr;http://www.lyceejeannedarc-rennes.fr
Lycée de La Salle;Rennes;GT;privé;5 rue de la Motte Brûlon - CS 60624 - 35706 Rennes;02 99 87 12 12;ce.0350795z@ac-rennes.fr;http://www.lasalle-rennes.fr
Lycée Saint-Exupéry - The Land;Rennes;GT;privé;Rue Fernand Robert - CS 84233 - 35042 Rennes;02 99 59 34 94;lyceesaintexuperyrennes@the-land.bzh;https://www.the-land.bzh
Lycée professionnel Sainte-Geneviève;Rennes;LP;privé;14D rue Ginguené - CS 44434 - 35044 Rennes;02 99 59 66 66;ce.0350049n@ac-rennes.fr;http://www.stmalo-steanne.fr
Lycée professionnel Saint-Vincent Providence;Rennes;LP;privé;57 rue de Paris - CS 46430 - 35064 Rennes;02 99 27 31 95;ce.0350792w@ac-rennes.fr;http://www.lycee-svp.fr
Lycée Sévigné;Cesson-Sévigné;GT;public;Rue de Rennes - BP 17310 - 35573 Cesson-Sévigné;02 99 86 09 09;ce.0352304p@ac-rennes.fr;http://www.lycee-sevigne-cesson.ac-rennes.fr
Lycée polyvalent Frédéric Ozanam;Cesson-Sévigné;Polyvalent;privé;44 avenue Charles Tillon - CS 14209 - 35842 Cesson-Sévigné;02 99 86 02 16;ce.0351951f@ac-rennes.fr;https://ozanam.bzh
Lycée Anita Conti;Bruz;GT;public;Avenue du Grümesnil - BP 44819 - 35548 Bruz;02 99 05 83 00;ce.0352686e@ac-rennes.fr;http://www.lycee-anitaconti.ac-rennes.fr
Lycée Saint-Joseph;Bruz;GT;privé;2 rue du Muguet - BP 90243 - 35171 Bruz;02 99 05 02 00;ce.0351903d@ac-rennes.fr;https://www.saintjoseph-bruz.fr
Lycée polyvalent Théodore Monod;Le Rheu;Polyvalent;public;17 rue du Château d'Eau - BP 73029 - 35653 Le Rheu;02 99 29 58 00;ce.0352867b@ac-rennes.fr;http://www.lycee-theodoremonod-le-rheu.ac-rennes.fr
Lycée Jean-Paul II;Saint-Grégoire;GT;privé;2 rue Antoine de Saint-Exupéry - BP 96214 - 35762 Saint-Grégoire;02 99 23 20 39;ce.0351955k@ac-rennes.fr;https://www.immaculee-jeanpaul2.fr
